Bank,Title,Description,Published At
Kotak,RBI approves appointment of Ashok Vaswani as MD & CEO of Kotak Mahindra Bank,"In the quarter ended September, the bank’s net profit grew 24 per cent to Rs 3,191 crore from Rs 2,581 crore in the same quarter of FY2023.",2023-10-22T00:30:30Z
Kotak,"Stocks to Buy: Here's why Kotak Bank, IndusInd Bank are a buy","Sell BHEL, buy INDUSINDBANK and KotakBank for potential gains",2023-10-21T18:30:00Z
Kotak,Kotak Mahindra Bank stock may open higher on CEO approval,"The bank has reported a 24% rise in standalone net profit of ₹3,191 crore, beating Motilal Oswal’s estimates",2023-10-21T18:30:00Z
Kotak,International banker Ashok Vaswani to head Kotak Mahindra Bank,"Vaswani has a proven track record spanning three-and-a-half decades, initially at Citigroup and more recently, at Barclays, of building and growing global businesses at scale.",2023-10-21T12:02:03Z
Kotak,Ashok Vaswani is new CEO of Kotak Mahindra Bank,"RBI approves appointment of Ashok Vaswani as the new boss of Kotak Mahindra Bank.Vaswani was initially at Citigroup and more recently, at Barclays and has",2023-10-21T10:21:57Z
Kotak,"Kotak Mahindra Bank Q2 Results Preview: Net profit seen over 10%, NIIs to rise 20% on strong loan growth","Kotak Mahindra Bank Q2 Results Preview: This is the first quarterly earnings results since the bank's MD and CEO Uday Kotak resigned from his position in September, three months ahead of schedule, and passed on the baton to Dipak Gupta.",2023-10-20T18:30:00Z
Kotak,Kotak Mahindra Bank to appoint Ashok Vaswani as new MD and CEO,"Kotak Mahindra Bank is set to appoint international banker Ashok Vaswani as its new managing director and chief executive officer. The announcement comes a little over a month after Uday Kotak, the founder MD and CEO of the private sector lender had announced his resignation",2023-10-20T18:30:00Z
Kotak,Buy or sell: Sumeet Bagadia recommends three stocks to buy next week,"Buy or sell: Sumeet Bagadia has recommend three stocks to buy on Monday — NTPC, Kotak Mahindra Bank and Tata Consumer Products",2023-10-20T18:30:00Z
Kotak,Kotak Bank gets RBI nod for acquisition of microlender Sonata Finance,"Mumbai, Kotak Mahindra Bank on Friday said the Reserve Bank has given approval for its Rs 537-crore acquisition of microlender Sonata Finance. The city-headquartered",2023-10-20T11:13:02Z
Kotak,RBI slaps Rs 12.19 crore penalty on ICICI Bank for non-compliance,"In a separate order, the RBI also imposed a penalty of Rs 3.95 crore on Kotak Mahindra Bank for various violations of rules.",2023-10-17T19:29:13Z
Kotak,"RBI Imposes Penalty On ICICI Bank, Kotak Mahindra Bank For Violation Of Norms",The Reserve Bank on Tuesday said it has imposed a penalty or Rs 12.19 crore on ICICI Bank and Rs 3.95 crore on Kotak Mahindra Bank,2023-10-17T12:12:31Z
Kotak,Kotak Institutional Equities says worst of price war in diagnostics behind us but stays cautious; here's why,"The brokerage has a 'sell' call on Dr Lal with a target price of ₹1,740, implying a potential downside of over 30 percent. Meanwhile, it has a 'reduce' call on Metropolis with a target price of ₹1,350, indicating an over 7 percent downside.",2023-10-11T18:30:00Z
Kotak,"Kotak Institutional Equities reiterates 'buy' rating on Sapphire Foods, sees 19% upside; here's why","Kotak has reiterated a 'buy' rating on Sapphire Foods, raising the target price to ₹1,700 apiece. Over the period spanning FY2020–23, the company recorded a 19.8% revenue CAGR in India, the second highest among QSR companies in the country, said the brokerage.",2023-10-11T18:30:00Z
Kotak,Pharmacy worker in Chennai receives ₹753 crore in bank account due to technical glitch,"Kotak Mahindra Bank branch in Teynampet, where the pharmacy worker has the account, froze it, saying the erroneous deposit was due to a technical glitch",2023-10-07T18:30:00Z
Kotak,"Axis Bank, IDBI Bank, Kotak Mahindra Bank Revises Fixed Term Deposit Rates; Check Latest Update",FD interest rates are updated by banks on a regular basis.,2023-10-05T01:30:23Z
Kotak,Only a few large companies investing; policymakers must push for free & fair market: Uday Kotak,Read more about Only a few large companies investing; policymakers must push for free & fair market: Uday Kotak on Devdiscourse,2023-10-04T14:47:42Z
Kotak,"China Evergrande shares suspended, China may have some learnings from US, India says Uday Kotak","China Evergrande halts trading in Hong Kong and its EV and property divisions, possibly due to founder's arrest.",2023-09-27T18:30:00Z
Kotak,"Emcure Pharma plans to launch $400-500 million IPO in 2024, hires Kotak, Jefferies for it",The development revives the listing plans for Emcure Pharmaceuticals which it shelved as the Russia's invasion of Ukraine disrupted global markets,2023-09-24T18:30:00Z
Kotak,Red flags for Indian equities emerge after crude oil jumps 30% since June this year,BNP Paribas says an overwhelming sense of fatigue has engulfed Asian equities and anecdotal evidence is suggestive of investor indecision.Kotak Institutional,2023-09-22T07:15:00Z
Kotak,"Bank FD rates: Kotak, Axis, IDBI Bank revises fixed deposit rates. Details here","Bank FDs become attractive as banks offer over 7% interest after RBI pause on rate hikes. Revised rates by Kotak Mahindra Bank, Axis Bank, IDBI Bank",2023-09-19T18:30:00Z
Kotak,"Stocks to buy this week: Wipro, Kotak Mahindra Bank, PNB among nine technical picks; do you own any?","Analysts advise following a stock-specific approach at the current juncture. They recommend buying Wipro, UCO Bank, BCL Industries, REC, Kotak Mahindra Bank, etc.",2023-09-17T18:30:00Z
