Date,Open,High,Low,Close,Adj Close,Volume
2023-08-04,737.500000,743.049988,729.400024,738.900024,738.900024,1294794
2023-08-07,729.049988,742.000000,723.099976,725.950012,725.950012,1456816
2023-08-08,725.000000,729.700012,701.400024,720.799988,720.799988,2866317
2023-08-09,725.799988,729.950012,712.099976,717.400024,717.400024,1773008
2023-08-10,717.400024,718.250000,697.099976,701.900024,701.900024,3017173
2023-08-11,704.450012,708.349976,697.099976,704.950012,704.950012,649337
2023-08-14,704.000000,710.799988,699.049988,706.599976,706.599976,635962
2023-08-16,702.000000,708.900024,696.000000,700.700012,700.700012,1513243
2023-08-17,702.000000,707.400024,696.599976,698.400024,698.400024,1814426
2023-08-18,703.450012,719.400024,701.400024,711.049988,711.049988,2034025
2023-08-21,711.099976,716.700012,705.349976,708.849976,708.849976,1704679
2023-08-22,712.250000,729.750000,708.849976,728.500000,728.500000,2220325
2023-08-23,728.450012,737.849976,727.000000,731.250000,731.250000,1329218
2023-08-24,734.000000,748.849976,728.549988,745.799988,745.799988,2556581
2023-08-25,743.849976,752.000000,735.250000,737.549988,737.549988,889001
2023-08-28,738.950012,743.000000,733.950012,738.799988,738.799988,1116902
2023-08-29,738.099976,740.000000,730.000000,731.450012,731.450012,453151
2023-08-30,732.000000,742.500000,725.450012,728.950012,728.950012,1202305
2023-08-31,729.950012,734.950012,707.549988,723.549988,723.549988,5250911
2023-09-01,724.650024,734.200012,719.400024,725.650024,725.650024,1524424
2023-09-04,726.000000,729.000000,713.299988,716.700012,716.700012,1565336
2023-09-05,721.000000,721.000000,714.049988,714.950012,714.950012,1083984
2023-09-06,716.299988,722.900024,712.250000,719.349976,719.349976,2378658
2023-09-07,724.500000,728.000000,720.250000,725.349976,725.349976,604310
2023-09-08,728.500000,736.950012,724.000000,734.900024,734.900024,1387523
2023-09-11,737.000000,741.200012,732.099976,735.099976,735.099976,1172424
2023-09-12,739.000000,739.900024,712.000000,718.450012,718.450012,1588895
2023-09-13,720.150024,730.049988,709.049988,723.450012,723.450012,2418932
2023-09-14,727.200012,744.000000,725.650024,738.750000,738.750000,1248430
2023-09-15,743.950012,745.500000,728.200012,732.500000,732.500000,918800
2023-09-18,730.049988,736.900024,726.000000,729.049988,729.049988,1002996
2023-09-20,727.599976,759.200012,725.250000,755.450012,755.450012,4544074
2023-09-21,756.650024,763.950012,739.250000,742.599976,742.599976,1979595
2023-09-22,745.750000,751.599976,742.150024,744.549988,744.549988,1667979
2023-09-25,744.549988,748.349976,734.200012,742.349976,742.349976,1928986
2023-09-26,743.000000,752.000000,740.599976,750.099976,750.099976,766479
2023-09-27,747.950012,754.900024,744.200012,745.750000,745.750000,869637
2023-09-28,745.750000,747.250000,716.599976,720.400024,720.400024,3968952
2023-09-29,724.200012,730.250000,708.099976,713.500000,713.500000,1456488
2023-10-03,714.799988,714.799988,702.099976,704.799988,704.799988,855484
2023-10-04,704.000000,708.099976,688.000000,703.599976,703.599976,3416610
2023-10-05,702.000000,716.950012,702.000000,714.400024,714.400024,925577
2023-10-06,719.900024,720.000000,712.450012,713.549988,713.549988,718188
2023-10-09,708.000000,717.450012,703.049988,711.000000,711.000000,927404
