Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,230.5,236.25,229.35000610351562,235.10000610351562,235.10000610351562,8157237
2023-09-04,236.75,237.39999389648438,234.39999389648438,236.25,236.25,5405373
2023-09-05,236.5,237.14999389648438,233.0,234.64999389648438,234.64999389648438,3940078
2023-09-06,234.85000610351562,236.14999389648438,232.3000030517578,234.0,234.0,7414501
2023-09-07,234.0,239.14999389648438,232.39999389648438,238.5,238.5,10675954
2023-09-08,239.85000610351562,245.75,238.14999389648438,243.39999389648438,243.39999389648438,15257354
2023-09-11,245.1999969482422,245.4499969482422,240.25,243.10000610351562,243.10000610351562,8480086
2023-09-12,244.4499969482422,244.4499969482422,231.8000030517578,232.85000610351562,232.85000610351562,10382611
2023-09-13,232.4499969482422,238.64999389648438,228.9499969482422,236.60000610351562,236.60000610351562,17496792
2023-09-14,238.0,241.4499969482422,235.10000610351562,239.5500030517578,239.5500030517578,13912743
2023-09-15,241.0,250.1999969482422,239.89999389648438,249.35000610351562,249.35000610351562,20378402
2023-09-18,249.3000030517578,250.3000030517578,246.0,246.60000610351562,246.60000610351562,12409151
2023-09-20,245.6999969482422,249.4499969482422,243.6999969482422,244.9499969482422,244.9499969482422,14347302
2023-09-21,244.4499969482422,253.0,243.75,245.5,245.5,16617293
2023-09-22,248.0,251.85000610351562,247.0500030517578,249.35000610351562,249.35000610351562,12015422
2023-09-25,249.85000610351562,253.6999969482422,246.89999389648438,252.9499969482422,252.9499969482422,11068085
2023-09-26,252.8000030517578,253.4499969482422,249.89999389648438,252.5500030517578,252.5500030517578,6646269
2023-09-27,252.35000610351562,256.95001220703125,248.6999969482422,252.4499969482422,252.4499969482422,8604430
2023-09-28,256.8500061035156,259.25,247.25,249.35000610351562,249.35000610351562,17534736
2023-09-29,251.0500030517578,256.45001220703125,249.75,251.60000610351562,251.60000610351562,10359088
2023-10-03,252.0,254.8000030517578,245.8000030517578,253.8000030517578,253.8000030517578,8151386
2023-10-04,250.6999969482422,255.39999389648438,248.75,253.85000610351562,253.85000610351562,9145829
2023-10-05,255.9499969482422,255.9499969482422,248.64999389648438,249.25,249.25,7632130
2023-10-06,250.8000030517578,255.0,247.64999389648438,252.89999389648438,252.89999389648438,7018670
2023-10-09,248.6999969482422,251.3000030517578,245.6999969482422,246.4499969482422,246.4499969482422,6591251
2023-10-10,248.3000030517578,252.35000610351562,247.0,251.9499969482422,251.9499969482422,5355488
2023-10-11,251.0,253.8000030517578,248.0,248.75,248.75,6575616
2023-10-12,250.89999389648438,251.89999389648438,249.14999389648438,251.0,251.0,3132333
2023-10-13,250.0,250.5,238.0,240.6999969482422,240.6999969482422,13097938
2023-10-16,241.0,245.89999389648438,239.6999969482422,244.10000610351562,244.10000610351562,6182055
2023-10-17,246.0,246.0,238.89999389648438,239.6999969482422,239.6999969482422,6938782
2023-10-18,240.1999969482422,244.4499969482422,237.35000610351562,238.10000610351562,238.10000610351562,12057238
2023-10-19,233.9499969482422,235.5,227.6999969482422,229.14999389648438,229.14999389648438,17897543
2023-10-20,229.14999389648438,231.5,225.0,225.5,225.5,7440024
2023-10-23,226.0,228.4499969482422,220.39999389648438,221.3000030517578,221.3000030517578,8870439
2023-10-25,222.5,224.85000610351562,217.14999389648438,218.25,218.25,10799172
2023-10-26,217.5500030517578,217.8000030517578,211.3000030517578,212.4499969482422,212.4499969482422,10920565
2023-10-27,214.0,216.5500030517578,213.0500030517578,214.39999389648438,214.39999389648438,5005707
2023-10-30,215.8000030517578,215.85000610351562,211.1999969482422,214.64999389648438,214.64999389648438,5337538
2023-10-31,216.0,218.5,213.6999969482422,214.14999389648438,214.14999389648438,4547584
2023-11-01,215.5,216.0,213.0,213.5,213.5,4922710
2023-11-02,215.9499969482422,217.25,214.10000610351562,214.9499969482422,214.9499969482422,4296465
2023-11-03,216.8000030517578,218.9499969482422,216.25,217.39999389648438,217.39999389648438,3894941
2023-11-06,219.85000610351562,219.85000610351562,217.39999389648438,217.85000610351562,217.85000610351562,5305052
2023-11-07,218.5500030517578,218.9499969482422,215.64999389648438,216.10000610351562,216.10000610351562,4255972
2023-11-08,217.5,218.8000030517578,216.5500030517578,217.4499969482422,217.4499969482422,5624531
2023-11-09,218.0500030517578,218.85000610351562,217.0,217.1999969482422,217.1999969482422,2100287
2023-11-10,217.1999969482422,218.25,214.60000610351562,217.75,217.75,2769494
2023-11-13,219.0,219.75,217.25,219.4499969482422,219.4499969482422,4084358
2023-11-15,221.5,224.3000030517578,220.9499969482422,222.10000610351562,222.10000610351562,6063087
2023-11-16,221.9499969482422,224.5,221.0,222.1999969482422,222.1999969482422,5042753
2023-11-17,219.4499969482422,220.75,215.75,217.0,217.0,8110801
2023-11-20,217.4499969482422,217.4499969482422,213.60000610351562,213.9499969482422,213.9499969482422,7344081
2023-11-21,214.8000030517578,215.60000610351562,213.25,213.89999389648438,213.89999389648438,5641541
2023-11-22,215.0,215.85000610351562,211.39999389648438,212.1999969482422,212.1999969482422,8961184
2023-11-23,213.0,213.64999389648438,212.0,212.39999389648438,212.39999389648438,3241986
2023-11-24,213.0,214.9499969482422,212.0,212.35000610351562,212.35000610351562,14344145
2023-11-28,214.39999389648438,218.5,212.8000030517578,216.85000610351562,216.85000610351562,10154652
2023-11-29,217.8000030517578,223.25,216.75,222.35000610351562,222.35000610351562,17186266
2023-11-30,223.5,230.39999389648438,223.0,226.10000610351562,226.10000610351562,21581773
2023-12-01,228.10000610351562,229.89999389648438,225.5500030517578,226.25,226.25,6673816
2023-12-04,230.5,234.85000610351562,229.25,234.3000030517578,234.3000030517578,14109397
2023-12-05,235.10000610351562,240.0,230.6999969482422,238.9499969482422,238.9499969482422,15470405
