Bank,Title,Description,Date,Open,High,Low,Close,Adj Close,Volume,Title_Sentiment,Description_Sentiment
SBI,"Stock market today: Day trading guide for Nifty 50 to Sensex, six stocks to buy or sell today - April 10","Day trading stocks: Experts have recommended six stocks to buy today — Apollo Hospital, Aurobindo Pharma, E I D-Parry (India), Mishra Dhatu Nigam, SBI Cards and Petronet LNG.",2024-04-09,768.450012,772.450012,761.099976,764.200012,764.200012,7465892.0,0.4019,0.2023
SBI,"Top Stock Recommendations: Sagar Doshi of Nuvama recommends buying Indigo, SBI Cards, and Jubilant Ingrevia today","Top Stock Recommendations: Sagar Doshi of Nuvama Professional Clients Group recommends buying these three stocks today - InterGlobe Aviation Ltd (Indigo), SBI Cards and Payment Services Ltd, and Jubilant Ingrevia Ltd.",2024-04-09,768.450012,772.450012,761.099976,764.200012,764.200012,7465892.0,0.7717,0.7717
SBI,SBI refuses to disclose electoral bonds data under RTI Act despite being available in public domain,The Election Commission of India (ECI) on March 21 published the complete electoral bond data submitted by the State Bank of India (SBI) on the orders of the Supreme Court (SC).,2024-04-11,,,,,,,0.0,0.5574
SBI,Pandit Ravi Shankar playing the guitar? SBI removes social media post after backlash over image,Image was put up on the bank’s social media platforms on 7 April to commemorate the late sitar maestro's birth anniversary. Some users alleged that picture was AI-generated.,2024-04-12,777.25,779.5,764.799988,766.299988,766.299988,14408722.0,0.2023,0.0
SBI,Buy or sell: SBI to Mukand - Vaishali Parekh recommends three stocks to buy today - April 12,"Buy or sell stocks: Vaishali Parekh has recommended three stocks to buy today — SBI, Sumitomo Chemical India, and Mukand",2024-04-13,,,,,,,0.2263,0.2023
SBI,"Market valuation of top firms surges ₹59,404 crore during holiday-shortened week; Airtel and ICICI Bank gain big","Reliance Industries kept its position as the most valued company, followed by TCS, HDFC Bank, ICICI Bank, Bharti Airtel, SBI, Infosys, LIC, ITC, and Hindustan Unilever.",2024-04-13,,,,,,,0.6369,0.4927
SBI,"Zomato, ICICI Bank, Titan, SBI and more: MOSL lists top large-cap stock picks for April","From Zomato to ICICI Bank, SBI, Coal India, Titan, etc., domestic brokerage house Motilal Oswal has come out with its top 11 large-cap stock picks for the month of April. Let's take a look.",2024-04-15,759.799988,763.299988,748.75,757.5,757.5,11356572.0,0.2648,0.2023
SBI,"SBI Securities recommends this small finance bank stock, sees 20% upside potential",Brokerage firm SBI Securities has recommended Suryoday Small Finance Bank stock to buy with a target price of ₹227.8. The brokerage sees an upside potential of over 20 per cent.,2024-04-16,751.25,754.900024,744.400024,751.700012,751.700012,13338991.0,0.4767,0.4588
SBI,"Bank FD Rates: From SBI, PNB To HDFC & ICICI Bank; Check Latest Fixed Deposit Rates",It's imperative to compare the fixed deposit (FD) rates offered by different banks before buying any plan.,2024-04-18,752.049988,759.950012,742.0,744.799988,744.799988,14589648.0,0.0,0.0
SBI,Magic of compounding: ₹1 lakh investment in these two mutual funds at launch would have grown to ₹20 lakh,"If you had invested ₹1 lakh in SBI Magnum Midcap Fund or Quant Mid Cap Fund at the time of launch, the investment would have swelled over 20 times by now.",2024-04-18,752.049988,759.950012,742.0,744.799988,744.799988,14589648.0,0.0,0.0
SBI,"Saturday bank holiday: Are banks closed today, April 20? Check details here","Banks in India, including SBI are open today on April 13. Tripura branches are closed for Garia Puja",2024-04-19,734.5,752.0,732.049988,750.450012,750.450012,10886554.0,0.4019,0.0
SBI,"Top Stock Recommendations: Dharmesh Shah of ICICI Securities suggests buying SBI, Bharat Dynamics on April 22","The Nifty made a sharp recovery (400 points) on Friday, as buying demand emerged near key support of 21700, despite weak sentiments, as prices approached oversold readings.",2024-04-20,,,,,,,0.6249,0.7435
SBI,"Stock market today: Trade setup for Nifty 50 to Sensex, 7 stocks to buy or sell on Monday - 22nd April","Day trading stocks: Experts have recommended seven stocks to buy today — Thermax, JSW Energy, Apar Industries, HAL, ITDC, Jindal Steel, and SBI Card",2024-04-21,,,,,,,0.4019,0.4404
SBI,"Stocks to buy: SBI Card, Repco Home, Hikal among 9 stocks that can rise 11-26% in next 3-4 weeks; do you own any?",Stocks to buy: The market is expected to remain volatile in the short term. Analysts recommend nine stocks that look attractive on technical charts.,2024-04-21,,,,,,,0.0,0.6597
SBI,Battery storage to EV finance: What World Bank's $1bn for SBI will support,This funding comes at a crucial time where the global crude oil supply might be under duress after various conflicts in the Middle East,2024-04-21,,,,,,,0.4019,-0.743
SBI,Buy or sell: Vaishali Parekh recommends three stocks to buy today - April 23,"Buy or sell stocks: Vaishali Parekh has recommended three stocks to buy today — Tata Consumer Products, SBI, and Apollo Hospitals",2024-04-22,754.150024,769.0,750.450012,766.099976,766.099976,17452186.0,0.2263,0.2023
SBI,"Stock market today: Trade setup for Nifty 50 to Sensex, 7 stocks to buy or sell on Tuesday - April 23","Stocks to buy today: Experts have recommended seven buy or sell stocks for today — LIC Housing Finance, SBI, LT, TVS Motor, DACL, Havells India, and Triveni Engineering",2024-04-22,754.150024,769.0,750.450012,766.099976,766.099976,17452186.0,0.4019,0.2023
SBI,"Govt of India, SBI team up with telcos to put a stop to OTP scams, curb cyber frauds, phishing attacks",The government is currently testing a solution that enables banks to monitor both the registered address and geolocation of a customer where a one-time password (OTP) is being delivered. In case of inconsistencies customers will be alerted about a potential phishing attempt,2024-04-23,770.349976,777.700012,765.549988,773.0,773.0,12292429.0,-0.9042,0.3182
SBI,Vodafone Idea FPO: Subscribed 6.36 times amid market volatility,"Domestic investors, including Motilal Oswal Mutual Fund, HDFC Mutual Fund, SBI General Insurance and Quant Mutual Fund, were allocated shares in the anchor round.",2024-04-23,770.349976,777.700012,765.549988,773.0,773.0,12292429.0,0.0,0.296
SBI,"FSIB Recommends Rana Ashutosh Kumar Singh for SBI MD, Asheesh Pandey for Indian Bank MD","New Delhi: The headhunter bureau for selecting directors of public sector banks (PSBs) and financial institutions, Financial Services Institutions Bureau (FSIB), on Wednesday, has recommended two...",2024-04-24,778.5,778.5,770.200012,773.099976,773.099976,7842615.0,0.2263,0.2023
SBI,SBI share price climbs to a new peak as stock market pares morning losses. Buy or sell?,SBI share price today bounced back strongly after a gap down opening and touched a new peak of ₹806 apiece on NSE,2024-04-24,778.5,778.5,770.200012,773.099976,773.099976,7842615.0,-0.128,0.5106
SBI,"Home Loans: Top 5 banks including HDFC, SBI with lowest rates of interest - check full list",HDFC Bank charges interest rate on its home loan in the range of 9.4 to 9.95 percent per annum. SBI charges a rate that hovers between 9.15 percent and 9.75 percent based on the borrower’s CIBIL score.,2024-04-25,770.650024,814.400024,769.650024,812.700012,812.700012,36732974.0,0.296,-0.0516
SBI,"SBI Life Insurance Q4 results: Net profit rises 4% YoY to ₹811 crore, premium income jumps 26%",SBI Life Insurance Q4 results: Life insurers have seen a rise in the share of low-margin unit-linked insurance plans (ULIPs) amid a strong domestic equity market,2024-04-25,770.650024,814.400024,769.650024,812.700012,812.700012,36732974.0,0.4404,0.6705
SBI,India needs 3 strong telecom companies: SBI Chairman Khara,"Vodafone raised Rs 18,000 crore from the market earlier this week. The sector continues to flourish and continues to be the backbone of digitalisation, he said.",2024-04-26,815.900024,816.900024,798.900024,801.299988,801.299988,14963247.0,0.5106,0.0
SBI,SBI Life Q4 profit rises 4% to ₹811 crore,SBI Life Insurance on Friday reported 4 per cent rise in net profit at Rs 811 crore for the fourth quarter ended March 2024 as value of new business grew modestly.,2024-04-26,815.900024,816.900024,798.900024,801.299988,801.299988,14963247.0,0.4404,0.6486
