Bank,Title,Description,Date,Open,High,Low,Close,Adj Close,Volume,Title_Sentiment,Description_Sentiment
AXIS,"NTPC share price jumps 5%, hits fresh all-time high; Axis Securities sees further upside","NTPC share price has jumped 92 per cent in the last one year while in the last six months, it has gained about 65 per cent.",2024-01-03,1091.0,1102.5999755859375,1081.300048828125,1098.5999755859375,1098.5999755859375,10225290.0,0.6908,0.5859
AXIS,"These 5 stocks including HDFC Bank, Bajaj Finance command 71% of the Nifty 50 gains today","Today's strong market performance was largely driven by five major stocks – HDFC Bank, Bajaj Finance, Infosys, Axis Bank and Bharti Airtel.",2024-01-03,1091.0,1102.5999755859375,1081.300048828125,1098.5999755859375,1098.5999755859375,10225290.0,0.6249,0.5106
AXIS,"FD rate hikes: Latest fixed deposit rates by 6 major lenders including SBI, HDFC Bank and ICICI Bank","Banks, which have recently raised their term deposit interest rates, include Bank of Baroda (BOB), State Bank of India (SBI), DCB Bank, HDFC Bank, ICICI Bank, and Axis Bank.",2024-01-03,1091.0,1102.5999755859375,1081.300048828125,1098.5999755859375,1098.5999755859375,10225290.0,0.0,0.4588
AXIS,"HDFC Bank, Reliance Industries, Infosys among 9 bottom-up ideas in Bernstein India Model Portfolio","Stock Market today: The 9 bottom-up Ideas in Bernstein India Model Portfolio Include HDFC Bank, Axis Bank, Infosys, Larsen & Toubro, NTPC, Bharti Airtel, Reliance Industries, Cipla, Adani Ports and Special Economic Zone.",2024-01-04,1103.0,1130.0,1100.050048828125,1123.4000244140625,1123.4000244140625,11411683.0,0.0,0.4019
AXIS,"Cyient, SBI and more: Axis Securities lists 9 stock picks for 2024 with up to 33% potential upside","As 2023 comes to an end, brokerage house Axis Securities has come out with its top stock picks for 2024. It said that with current valuations offering a limited scope of further expansion, bottom-up stock picking would be a key to generating satisfactory returns in the next one year.",2024-01-04,1103.0,1130.0,1100.050048828125,1123.4000244140625,1123.4000244140625,11411683.0,0.3566,0.5574
AXIS,"Lupin, Federal Bank, Relaxo Footwear and more: Axis Securities lists 8 mid and small-cap stock picks for January 2024",Brokerage house Axis Securities believes style and sector rotation are key factors at the current juncture. It said that ‘Growth at a Reasonable Price’ looks attractive and recommends investors to use dips to buy high-quality firms. Let's take a look at its top mid and small-cap picks for January:,2024-01-07,,,,,,,0.3566,0.7783
AXIS,"ACC: Axis Securities selects the stock as its 'pick of the week', sees 10% upside - 3 key reasons","Axis Securities has a ‘buy’ call on the stock with a target price of ₹2,615, implying a potential upside of 10 percent. This is on the back of its attractive valuations, strong growth opportunities, positive company-specific triggers, and macroeconomic tailwinds.",2024-01-08,1145.0,1146.0,1118.5,1122.0,1122.0,4735538.0,0.296,0.9451
AXIS,"Sensex, Nifty trade flat in morning trade as BPCL, ONGC drag","Oil prices have witnessed a slight uptick due to unexpected declines in US crude stocks. BPCL, ONGC, NTPC, Coal India, and Axis Bank are the top laggards in",2024-01-10,1115.25,1116.0,1099.050048828125,1107.0,1107.0,5934163.0,0.2023,-0.4404
AXIS,Major UPI apps enabled to receive direct remittances from Singapore; details here,"The users of BHIM, PhonePe, and Paytm apps can receive remittance from Singapore via UPI. Additionally, some banks have also rolled out this functionality through their apps which include Axis Bank, DBS Bank India, ICICI Bank, Indian Bank, Indian Overseas Bank, and SBI.",2024-01-10,1115.25,1116.0,1099.050048828125,1107.0,1107.0,5934163.0,0.0,0.0
AXIS,"Nifty, Sensex come off opening high as DRL, Infosys drag","Hero Motocorp, Axis Bank, Bajaj Finserv, HDFC Life, and Reliance are some of the top gainers.Dr Reddy, Infosys, HCL Technologies, Sun Pharma are some of the",2024-01-11,1111.050048828125,1127.9000244140625,1111.050048828125,1125.75,1125.75,4683035.0,0.2023,0.6597
AXIS,Polycab shares crack 28% in last five sessions; Axis Capital cuts target price,The company shares were in the spotlight over the last few sessions amid circulating reports of tax evasion allegations against the company.,2024-01-11,1111.050048828125,1127.9000244140625,1111.050048828125,1125.75,1125.75,4683035.0,0.0,0.296
AXIS,"Market dynamics to be influenced by favourable cyclical factors in 2024, says Ashish Gupta of Axis Mutual Fund","Ashish Gupta, CIO, Axis Mutual Fund, says stronger economic growth prospects and an improved earnings outlook are expected to augur well for equities in 2024.",2024-01-14,,,,,,,0.2732,0.891
AXIS,"Welspun Living: Axis Securities selects the stock as its 'pick of the week', sees 14% upside - 3 key reasons why","Axis Securities has a ‘buy’ call on Welspun Living with a target price of ₹175, implying a potential upside of 14 percent. This is on the back of the promising long-term potential in the textile sector, raw material price correction, improvement in margins, and developing branded presence.",2024-01-15,1122.0,1130.449951171875,1116.5999755859375,1119.5,1119.5,6719079.0,0.296,0.7845
AXIS,"Earth isn’t the only planet with seasons, but they can look wildly different on other worlds","The rotational axis that Earth spins on, along the North and South poles, isnt quite aligned with the vertical axis perpendicular to Earths orbit around the Sun.That slight tilt has big implications for everything from seasons to glacier cycles. Spin-orbit resonances can cause these obliquity variations, which is when a planet wobbles on its axis.",2024-01-15,1122.0,1130.449951171875,1116.5999755859375,1119.5,1119.5,6719079.0,0.0,0.0
AXIS,What is Iran’s axis of resistance?,The country’s Middle Eastern network of allied militias has grown more powerful,2024-01-17,1082.0,1115.0,1079.199951171875,1082.300048828125,1082.300048828125,24913719.0,0.0,0.4754
AXIS,"Gut Microbiota: Understanding Its Impact On Mood, Anxiety, And Cognitive Function","As we delve deeper into the complexities of the gut-brain axis, it becomes increasingly clear that a holistic approach to health, addressing the gut and the brain, is essential for promoting overall well-being and mental resilience. TheHealthSite.com",2024-01-18,1066.0,1108.75,1066.0,1097.5,1097.5,11473135.0,-0.1779,0.6249
AXIS,"Friday cheer: Sensex hits 71,700 led by Bharti Airtel, ICICI Bank","Airtel, ONGC, ICICI Bank, Axis Bank, Tech Mahindra are the top gainersReliance Industries, RBL Bank, HUL are some of the big earnings being eyed by the street.IndusInd",2024-01-19,1107.1500244140625,1126.300048828125,1105.0,1116.550048828125,1116.550048828125,12303696.0,0.5106,0.2023
AXIS,"Stocks to Buy: HDFC Bank, ICICI , Axis, AU Bank are the 4 top picks of BNP Paribas among Banks: SBI Life in Insurance","Stocks to Buy: HDFC Bank, ICICI , Axis, AU Bank are the 4 top picks of BNP Paribas among Banks; SBI Life in Insurance . They prefer private banks, IT services, telecoms and are under weight on staples, automobiles and pharma",2024-01-19,1107.1500244140625,1126.300048828125,1105.0,1116.550048828125,1116.550048828125,12303696.0,0.2023,0.2023
AXIS,"Kotak Mahindra Bank Q3 Result Preview: Stable credit costs to aid earnings; asset quality to remain steady, say analysts",Q3 Result Preview: Kotak Mahindra bank will report its Q3 financial performance today. Net profit is expected to rise 18% yoy as per Axis Securities and 20.3 % as per MOFSL. The stable credit costs to aid earnings as asset Quality is expected to remain steady. NIMs may see some compression.,2024-01-19,1107.1500244140625,1126.300048828125,1105.0,1116.550048828125,1116.550048828125,12303696.0,0.743,0.886
AXIS,"Ethos stock attractive within the small-cap space, says Axis Securities; sees nearly 30% upside","Luxury watch retailer Ethos is projected to see its shares cross the ₹3,000 mark, driven by the expected fivefold expansion of India's luxury market in the next decade. Axis Securities has initiated coverage on the stock with a 'buy' rating, setting a target price of ₹3,050 apiece.",2024-01-19,1107.1500244140625,1126.300048828125,1105.0,1116.550048828125,1116.550048828125,12303696.0,0.6249,0.5267
AXIS,"Q3 results this week: L&T Finance, Pidilite Ind, Adani Power, IIFL Securities, Zensar Technologies, Axis Bank and mo","Q3 results this week: Notable companies, including KFin Technologies Ltd, L&T Finance, Pidilite Ind, REC Ltd, IIFL Securities, Zensar Technologies, Axis Bank, JSW Steel Ltd, Indian Energy Exchange Ltd, SBI Life Insurance Company Ltd, Shriram Finance Ltd, Yes Bank are expected to report results.",2024-01-20,,,,,,,0.296,0.7184
AXIS,"Axis Bank Q3 preview: Net profit may rise 6%, NII seen at ₹124,553 million",Analysts further predict that a narrowing of margins could constrain net profit growth to the mid-single digits.,2024-01-21,,,,,,,0.4404,0.6705
AXIS,"Q3 results today: Axis Bank, Indus Towers, Havells India, others to announce Q3 earnings","Q3 results today: Investors will focus on the Q3 earnings of prominent players such as Axis Bank, Indus Towers, Havells India, Karnataka Bank, and more.",2024-01-22,,,,,,,0.0,0.3182
AXIS,Axis Bank expects personal loan growth to continue,"Private sector lender's personal loans grew 28% y-o-y to ₹65,083 crore as on 31 December",2024-01-22,,,,,,,0.3818,0.0
AXIS,"Stocks to Watch: ICICI Bank, Cipla, ZEE, Axis Bank, Coforge","Axis Bank, Indus Towers, JSW Energy, L&T Finance Holdings, Havells India, Karnataka Bank, REC, Tata Elxsi, United Spirits, Cyient DLM, Glenmark Life Sciences, ICRA and Tanla Platforms are the companies scheduled to announce their third quarter earnings on January 23",2024-01-22,,,,,,,0.0,0.5994
AXIS,"Stocks to Watch: Tech Mahindra, Bajaj Auto, Axis Bank, JSW Energy, United Spirits","There are a total of 5 stocks in the F&O ban list for January 24, including Balrampur Chini Mills, IRCTC, National Aluminium Company, Oracle Financial Services Software, and RBL Bank.",2024-01-23,1125.9000244140625,1141.5999755859375,1078.800048828125,1089.25,1089.25,18924087.0,0.5994,-0.5574
AXIS,"Stocks To Watch On January 24: Pidilite, Axis Bank, Tata Elxsi, Bharti Airtel & Others","The GIFT Nifty trends suggest a positive opening for the broader index in India, indicating a gain of 87 points or 0.41 percent.",2024-01-24,1034.800048828125,1073.199951171875,1020.9000244140624,1059.1500244140625,1059.1500244140625,20884046.0,0.0,0.9236
AXIS,Relief for Sebi as SC stays SAT order in Karvy Stock Broking case,"Sebi's plea contested SAT's previous ruling, which had favoured major lenders such as Axis Bank, ICICI Bank, HDFC Bank, IndusInd Bank, and Bajaj Finance.",2024-01-25,1058.0,1063.699951171875,1025.800048828125,1042.25,1042.25,20835434.0,0.4767,0.4215
AXIS,"Little comfort in Axis Bank Q3 result as credit, margin outlook cautious","Despite decent growth, investors are concerned due to Axis Bank’s apprehensions about credit and deposit growth. The lender foresees a slowdown in credit growth and limitations on deposit expansion",2024-01-27,,,,,,,0.5279,-0.3076
AXIS,Day trading guide for stock market today: Nine stocks to buy or sell on Tuesday - 30th January,"Day trading stocks: Market experts have recommended nine stocks to buy today — Godrej Properties, Hero MotoCorp, NCC, Axis Bank, Castrol India, Dhampur Sugars, Jindal Saw, etc",2024-01-29,1036.0,1068.0,1036.0,1061.25,1061.25,11188604.0,0.0,0.6597
AXIS,SBI vs HDFC vs ICICI vs PNB vs BoB vs Kotak vs Axis: Which bank is offering the highest interest rate on fixed deposits?,Fixed deposits are a safe investment option with consistent interest rates. Here is a comparison of top banks' fixed deposit rates for 2024,2024-01-29,1036.0,1068.0,1036.0,1061.25,1061.25,11188604.0,0.4588,0.7717
AXIS,"Stocks to Buy: PNC Infratech, PNB, among 4 weekly technical picks of Axis Securities","Stocks to Buy: Axis Securities 4 weekly tech picks are Fertilizers and Chemicals Travancore, JK Lakshmi Cement, PNC Infratech and Punjab National Bank.",2024-01-30,1060.050048828125,1070.449951171875,1050.800048828125,1054.0999755859375,1054.0999755859375,9426983.0,0.296,0.5904
AXIS,PI Industries is Axis Securities' ‘pick of the week’ - 3 key reasons why,"Axis Securities has a ‘buy’ call on PI Industries with a target price of ₹3,750, implying a potential upside of 11 percent",2024-02-04,,,,,,,0.296,0.296
AXIS,NFO Alert: Axis Mutual Fund launches Axis S&P BSE Sensex Index Fund; all you need to know,"Axis Mutual Fund announced the launch of the Axis S&P BSE Sensex Index Fund. The scheme will open for public subscription on February 08, 2024, and will close on February 22, 2024.",2024-02-05,1067.050048828125,1079.5,1058.0,1061.5,1061.5,12569454.0,0.296,0.0
AXIS,"HDFC Bank Group To Acquire Upto 9.5% Stakes In Yes Bank, Axis Bank & 4 Others, Gets RBI Nod","The RBI has also mandated that the group acquire major shareholding within one year in all the banks from the date of the approval, without which it would stand cancelled.",2024-02-06,1061.550048828125,1065.0999755859375,1048.199951171875,1050.050048828125,1050.050048828125,8011171.0,0.4019,0.2732
AXIS,FD rate hike: Axis Bank increases interest rates on fixed deposits. Details here,"FD rate hike: Axis Bank offers FD rates of 3.50-7.85% p.a. to senior citizens on tenures ranging from 7 days to 10 years, effective from 5 February 2024",2024-02-06,1061.550048828125,1065.0999755859375,1048.199951171875,1050.050048828125,1050.050048828125,8011171.0,0.4588,0.4767
AXIS,"Nifty, Sensex gain in morning trade as investors await RBI monetary policy","State Bank of India, Axis Bank, JSW Steel, Tata Steel, Titan, Kotak Mahindra Bank are some of the major gainers.HCL Technologies, Infosys, Power Grid, Wipro,",2024-02-07,1061.050048828125,1073.699951171875,1057.5,1069.0999755859375,1069.0999755859375,7281793.0,0.7579,0.0
AXIS,"Ram Madhav writes: India, making waves in the Indian Ocean","With axis of global power shifting to the Indo-Pacific, India is remedying old mistakes and assuming a prominent role in addressing maritime concerns in Indian Ocean region",2024-02-10,,,,,,,0.0,-0.0516
AXIS,IIMA completes final placement process for 2024,"Recruiters, including Tata Steel, NPCI, Jio Financial Services, Newgen Software Tech Ltd, Javis, BNP Paribas, Axis Bank and S&P Global, were part of the third cluster recruitment.",2024-02-13,1051.0,1075.550048828125,1044.800048828125,1070.75,1070.75,8413609.0,0.0,0.0
AXIS,Day trading guide for stock market today: Nine stocks to buy or sell on Thursday - 15th February,"Day trading stocks: Market experts have recommended nine stocks to buy today — Axis Bank, IRFC, MRPL, HDFC Life, SJVN, HUDCO, Century Text, Sasken Technologies, and SAIL",2024-02-14,1061.300048828125,1100.9000244140625,1060.550048828125,1096.8499755859375,1096.8499755859375,16609115.0,0.0,0.2023
AXIS,"Buy or sell: Rajesh Palviya of Axis Securities recommends Federal Bank, NOCIL, M&M stock for today","Buy or sell stocks: Rajesh Palviya has recommended three stocks to buy, hold, and accumulate today - Federal Bank, NOCIL, and Mahindra & Mahindra (M&M).",2024-02-15,1097.5,1097.550048828125,1069.25,1072.199951171875,1072.199951171875,11780823.0,0.4767,0.2023
AXIS,"Paytm shifts nodal account to Axis Bank; Soundbox, Card machine to continue working even after March 15","Paytm QR, Soundbox, Card machine will continue to work as always even beyond March 15.",2024-02-15,1097.5,1097.550048828125,1069.25,1072.199951171875,1072.199951171875,11780823.0,0.0,0.0
AXIS,"Stocks to Watch: Infosys, Coal India, Vedanta, Paytm, HDFC Bank, Yes Bank, Axis Bank","Here are a few stocks likely to be in focus on Friday, February 16:",2024-02-15,1097.5,1097.550048828125,1069.25,1072.199951171875,1072.199951171875,11780823.0,0.4019,0.0
AXIS,Paytm share price surges 5% as it moves nodal account to Axis Bank,"Paytm share price surged by 5 per cent to hit its upper circuit in opening deals after shifting the nodal account to Axis Bank. RBI extended Paytm Payments Bank deadline to March 15, from the initial date of February 29.",2024-02-18,,,,,,,0.296,0.296
AXIS,"Paytm shares jump 5% after Axis Bank deal, fresh RBI deadline",The Reserve Bank of India (RBI) on Friday extended the deadline for Paytm Payments Bank to stop accepting fresh deposits in its accounts or wallets to March 15 from Feb. 29.,2024-02-19,1069.0,1070.0,1060.0999755859375,1062.949951171875,1062.949951171875,7562645.0,0.5423,0.4019
