Bank,Title,Description,Date,Open,High,Low,Close,Adj Close,Volume,Title_Sentiment,Description_Sentiment
ICICI,"Stock market today: Day trading guide for Nifty 50 to Sensex, six stocks to buy or sell on Tuesday - March 26","Stocks to buy today: Market experts have recommended six day trading stocks for today — Pidilite Industries, Cummins India, ICICI Bank, Asian Paints, Shriram Properties, and India Cements",2024-03-25,,,,,,,0.4019,0.2023
ICICI,ICICI Securities delisting gets nod from institutional investors despite retail resistance; shares fall 4%,Institutional shareholders gave the green light to the proposal to delist ICICI Securities and merge it with its parent company. ICICI Securities share price declined following this announcement.,2024-03-27,1083.699951,1092.5,1079.550049,1083.75,1083.75,26907245.0,0.0803,0.6808
ICICI,"Stocks to buy: HUL, Grasim, LIC Housing among 9 stocks that can rise 5-17% in short term, say analysts; do you own any?","Stocks to buy: Stocks like IPCA Laboratories, Mrs. Bectors Food Specialities, and ICICI Prudential Life Insurance are recommended buys with potential upside ranging from 9% to 17%.",2024-03-31,,,,,,,0.0,0.5106
ICICI,ICICI Securities delisting: A course correction better late than never,"Over the past five years, the earnings per share of I-Sec has doubled but the price-to-earnings multiple indicates a drop in valuation amid intense competition in the brokerage business",2024-03-31,,,,,,,0.6249,-0.1531
ICICI,"Stocks to buy in April: Coal India, ICICI Bank, SBI , Bharti Airtel are among top 15 picks by Axis Securities","Stocks to Buy in April: ICICI Bank, Coal India, Nestle India, SBI , Lupin , Federal Bank, Varun Beverages, TVS Motor Company, Bharti Airtel, PNC infra, CIE Automotive India, Bank of Baroda, Westlife Foodworld, CreditAccess Grameen, JTL Industries are among the top 15 stock picks by Axis Securities",2024-04-01,1096.050049,1102.949951,1094.449951,1099.650024,1099.650024,10848191.0,0.4588,0.4588
ICICI,"ICICI Bank warns customers against new online fraud, says 'do not…","ICICI Bank cautions customers against clicking on malicious links, which could result in potential hacking and financial loss",2024-04-02,1094.449951,1094.449951,1079.25,1081.199951,1081.199951,14380396.0,-0.6369,-0.3182
ICICI,"ICICI Lombard investors need to look beyond tech edge, good execution","The valuation of ICICI Lombard stock at a price-to-earnings multiple of 40 times based on average FY24 estimated earnings, looks stretched",2024-04-02,1094.449951,1094.449951,1079.25,1081.199951,1081.199951,14380396.0,0.4404,0.0
ICICI,"Nifty 50 to approach 23,400 by General Elections 2024 outcome in June as seasonal correction matures, says ICICI Direct","Nifty 50 is expected to rally towards 23,400 by June 2024 driven by BFSI, auto, capital goods, and metal sectors. Midcaps' correction offers attractive risk-reward opportunity for investors seeking quality stocks, as per ICICI Direct.",2024-04-03,1075.0,1083.650024,1072.25,1077.199951,1077.199951,15477184.0,0.4019,0.8126
ICICI,"Fixed deposit news: Bank of India revises FD rates. How they compare with SBI, ICICI, HDFC Bank","Bank of India revises FD rates: Senior citizens receive an extra 50 basis points (bps) on tenors of 6 months and above, while super senior citizens are granted an additional 65 bps",2024-04-03,1075.0,1083.650024,1072.25,1077.199951,1077.199951,15477184.0,0.0,0.7096
ICICI,"ITC, ICICI Bank, Pidilite, Titan Among 25 Shares In Rahul Gandhi's Rs 4.30-Crore Portfolio","Explore Rahul Gandhi's investment portfolio, including his stakes in ITC, ICICI Bank, Titan, and other top stocks and mutual funds. Get insights into the Congress leader's investment details worth 4.30 Crores at news18.com",2024-04-04,1084.75,1085.800049,1063.449951,1078.849976,1078.849976,21419689.0,0.296,0.4019
ICICI,Top Stock Recommendations: Dharmesh Shah of ICICI Securities recommends buying RIL and LIC Housing Finance tomorrow,Top Stock Recommendations: Dharmesh Shah of ICICI Securities has recommended two stocks to buy on Monday - Reliance Industries Ltd (RIL) and LIC Housing Finance Ltd.,2024-04-06,,,,,,,0.5994,0.5859
ICICI,"Stock market today: Ashok Leyland, ICICI Bank to NCC - 7 buy or sell stock ideas by experts","Buy or sell stock ideas: Experts have recommended seven shares to buy today — Ashok Leyland, NCC, Zydus Life, Sumitomo Chemical, Tamilnadu Newsprint, ICICI Bank, and Pitti Engineering",2024-04-07,,,,,,,0.0,0.4588
ICICI,"Stocks to buy: ICICI Bank, IndusInd Bank and SBI - top stock picks among banks from Motilal Oswal ahead of Q4 results","Stocks to buy: ICICI Bank, Axis Bank and Kotak Mahindra Bank are expected to see a 7-11 bps moderation in NIM, while it expects flat NIMs for HDFC Bank, RBL Bank, SBI, IndusInd Bank and Union Bank of India.",2024-04-07,,,,,,,0.2023,0.0
ICICI,"Today’s Latest Business News, Finance and Share Market News at 5:30 pm on 9 April 2024","In today's audio, ICICI Lombard’s partnership with Policybazaar and the Indian startup ecosystem slowing down and more.",2024-04-09,1091.949951,1115.25,1088.300049,1107.050049,1107.050049,12298463.0,0.296,0.0
ICICI,"ICICI Bank, NTPC & others hit 52 week high today ; Do you own any?","Following shares hit their 52 week high today - ICICI Bank, NTPC, Mahindra & Mahindra",2024-04-09,1091.949951,1115.25,1088.300049,1107.050049,1107.050049,12298463.0,0.0,0.296
ICICI,"Eicher Motors, ICICI Bank & others hit 52 week high today ; Do you own any?","Following shares hit their 52 week high today - Eicher Motors, ICICI Bank, NTPC, Mahindra & Mahindra",2024-04-10,1110.949951,1116.550049,1105.150024,1109.400024,1109.400024,10598000.0,0.0,0.296
ICICI,"Veritas Finance picks bankers for ₹2,000-crore IPO","The lender has appointed investment banks Kotak Mahindra Capital Co., Jefferies, HDFC and ICICI Securities to help it with the issue.",2024-04-11,,,,,,,0.0,0.5994
ICICI,"Market valuation of top firms surges ₹59,404 crore during holiday-shortened week; Airtel and ICICI Bank gain big","Reliance Industries kept its position as the most valued company, followed by TCS, HDFC Bank, ICICI Bank, Bharti Airtel, SBI, Infosys, LIC, ITC, and Hindustan Unilever.",2024-04-13,,,,,,,0.6369,0.4927
ICICI,'Economy's sound enough to bear short-term oil shock',"Were the country to face an oil price shock, it would not have to cut back on oil imports as other items can flex to keep the current account in equilibrium and economic output will not contract, says Anish Tawakley, deputy CIO, Equity, ICICI Prudential MF.",2024-04-14,,,,,,,-0.3818,-0.1989
ICICI,"Top Stock Recommendations: Dharmesh Shah of ICICI Securities suggests buying Reliance, Delhivery today",Top Stock Recommendations: Dharmesh Shah of ICICI Securities has recommended two stocks to buy on Monday - Reliance Industries Ltd (RIL) and Delhivery Ltd.,2024-04-14,,,,,,,0.4588,0.5859
ICICI,"Zomato, ICICI Bank, Titan, SBI and more: MOSL lists top large-cap stock picks for April","From Zomato to ICICI Bank, SBI, Coal India, Titan, etc., domestic brokerage house Motilal Oswal has come out with its top 11 large-cap stock picks for the month of April. Let's take a look.",2024-04-15,1100.199951,1106.150024,1076.599976,1078.349976,1078.349976,10526597.0,0.2648,0.2023
ICICI,"Q4 Results Today: Angel One, ICICI Lombard, Tata Communications among 10 companies to post Q4 earnings on April 17","Q4 Results Today: ICICI Lombard General Insurance Company, Tata Communications, Just Dial, and Angel One are among the 10 companies that will release their earnings for the Jan-March 2024 period on Wednesday",2024-04-16,1070.550049,1074.599976,1062.699951,1067.050049,1067.050049,11278092.0,0.0,0.0
ICICI,"Q4 Results Today: Infosys, Bajaj Auto, HDFC Life, ICICI Securities among 19 companies to post Q4 earnings on April 18","Q4 Results Today: Infosys, Bajaj Auto, HDFC Life Insurance, ICICI Securities, TV18 Broadcast, Mastek, Network18 Media are among the 19 companies that will release their earnings for the Jan-March 2024 period on Thursday",2024-04-17,,,,,,,0.296,0.296
ICICI,"ICICI Lombard share price jumps over 5% after strong Q4 results; Should you buy, sell or hold the stock?","ICICI Lombard General Insurance Company posted a net profit of ₹519 crore in Q4FY24, registering a growth of 19% from ₹436 crore in the year-ago period.",2024-04-17,,,,,,,0.6705,0.6705
