Bank,Title,Description,Date,Open,High,Low,Close,Adj Close,Volume,Title_Sentiment,Description_Sentiment
IDFC,IDFC First Bank Q1 Results: Net profit jumps 61% YoY to ₹765 crore; asset quality improves,"IDFC First Bank Q1 Results: The net interest income of the bank grew 36% from ₹2,751 crore in Q1FY23 to ₹3,745 crore in Q1FY24",2023-07-28,83.0,84.150002,82.550003,83.949997,83.949997,31513904.0,0.802,0.4588
IDFC,IDFC FIRST Bank Q1 net profit up 61 pc at Rs 765 cr,"Net NPAs of the bank improved to 0.70 per cent at end-June 2023 from 1.30 per cent at June 30, 2022.Commenting on the result, V Vaidyanathan, Managing Director and CEO, IDFC FIRST Bank, said, We continue to build a strong franchise with a high CASA Ratio of 46.5 per cent.",2023-07-29,,,,,,,0.4404,0.7506
IDFC,"Stocks to Watch: TCS, NTPC, Bank of India, IDFC First, Vedanta, Marico","Maruti Suzuki, Gail India, Power Grid, UPL, Adani Green Energy, Adani Transmission, Castrol India, and Dhanlaxmi Bank are some of the companies that will in focus today as they will declare their earnings",2023-07-30,,,,,,,0.0,0.2732
IDFC,IDFC First Bank shares jump after Q1 results. Buy or wait for profit booking?,IDFC First Bank shares have risen from ₹52 to ₹86.10 apiece levels in FY24,2023-07-30,,,,,,,0.6249,0.296
IDFC,‘IDFC First to focus on cash flow-based lending business’,CEO V. Vaidyanathan says demand for working capital loans from small businesses is on the rise following the government’s capital expenditure push,2023-07-30,,,,,,,0.0,-0.128
IDFC,"Stocks to Watch: Airtel, Adani Ent, Cipla, Sun Pharma, Eicher Motors","SBI, M&M, Britannia, BHEL, Shipping Corporation, Delhivery, IDFC, and JK Tyre are some of the companies that will be in focus today as they will declare their quarterly earnings",2023-08-03,87.300003,87.900002,85.849998,86.949997,86.949997,34558158.0,0.0,0.3885
IDFC,"Q1 results today: SBI, M&M, IDFC to BHEL - 72 companies to declare Q1 results 2023","Q1 results 2023: 72 listed companies going to announce Q1 results today include Britannia Industries, Fortis Healthcare, Bharat Dynamics, HDFC, MapmyIndia, Rain Industries, etc.",2023-08-03,87.300003,87.900002,85.849998,86.949997,86.949997,34558158.0,0.0,0.2732
IDFC,"MSCI Global Standard Index review: HDFC AMC, Ashok Leyland among 8 additions, ACC excluded","According to Nuvama Alternative and Quantitative Research, IDFC First Bank is expected to see inflows of $204 million, while PFC may see inflows to the tune of $203 million after this inclusion.",2023-08-10,88.0,89.0,87.199997,87.550003,87.550003,28905866.0,-0.34,0.0
IDFC,IDFC First Bank Stock Doubles Investors' Money In One Year. Is More Steam Left?,Shares of IDFC First Bank have logged consecutive gains in the last 8 trading sessions even as the frontline indices traded on a jittery note,2023-08-23,92.699997,93.599998,92.150002,92.25,92.25,42359762.0,0.0,0.5574
IDFC,IDFC First wins BCCI title rights,IDFC First Bank wins title sponsorship rights for BCCI matches for the next three years for ₹4.2 crore per match.,2023-08-25,91.300003,92.099998,90.199997,91.099998,91.099998,29665822.0,0.5719,0.5719
IDFC,"Stocks to Watch: RIL, Adani Ent, IDFC First, Zee Entertainment, Tata Motors","BHEL, Escorts Kubota, GMR Infrastructure, Hindustan Copper, India Cements, Manappuram Finance, RBL Bank, and Sun TV are the stocks that are a part of the F&O ban list by the stock exchange for Monday",2023-08-27,,,,,,,0.4215,-0.5574
IDFC,"Stocks to Watch: RIL, Adani Ent, IDFC First, Zee Enterprises, Tata Motors","BHEL, Escorts Kubota, GMR Infrastructure, Hindustan Copper, India Cements, Manappuram Finance, RBL Bank, and Sun TV are the stocks that are a part of the F&O ban list by the stock exchange for Monday",2023-08-27,,,,,,,0.0,-0.5574
IDFC,"MSCI index rejig from Aug 31: REC, Supreme Industries, 6 others included; What's expected in Nov review?","Shares of IDFC First Bank, HDFC AMC, Ashok Leyland, and Supreme Industries are among the eight stocks that will see inflows from passive funds, as they make their way into MSCI Global Standard Index starting from today (August 31, 2023)",2023-08-30,91.25,92.449997,90.800003,92.25,92.25,34413041.0,0.5574,0.765
IDFC,Buy or sell: Vaishali Parekh recommends three stocks to buy today - 31st August,"Buy or sell stocks: Vaishali Parekh has recommended three stocks to buy today — Infosys, IDFC First Bank and Polyplex",2023-08-30,91.25,92.449997,90.800003,92.25,92.25,34413041.0,0.2263,0.2023
