Date,Arima_Close,Lstm_Close,Sarima_Close,Average_Close,Market_Close
09-04-2024,1552.5520204305749,1565.936,1552.18112902721,,1548.55
10-04-2024,1558.198908448606,1591.422,1554.13265671718,,1536.35
12-04-2024,1568.5848063345638,1638.9852,1559.7509987901394,1578.636013475509,1518.95
15-04-2024,1573.3300138526226,1700.118,1564.4796744080118,1593.5442493749363,1494.70	
16-04-2024,1577.7822973419006,1716.5895,1562.9162262371265,1606.9485241071516,1509.25	
18-04-2024,1585.8293301870376,1745.1426,1554.204399784203,1623.4997429532204,1494.70	
19-04-2024,1589.43632689809,1757.5088,1555.3311136956827,1628.4984337326368,1531.30
22-04-2024,1592.7747547800782,1788.2502,1553.7623294487084,1635.8044283104225,1512.20
23-04-2024,1595.8520572581451,1796.682,1548.9708098503193,1642.0631546590027,1507.60
24-04-2024,1598.6760906689356,1804.3396,1544.6831629450448,1647.1101116612479,1511.70	
25-04-2024,1601.2550651128513,1811.291,1550.328093196734,1650.230875448003,1510.75	
26-04-2024,1603.597488346586,1817.6182,1552.2997625621076,1653.787606981362,1509.80
27-04-2024,-,-,-,-,-
29-04-2024,1605.7121126989466,1833.3201,1555.5312161480977,1658.9947820072582,-
30-04-2024,1607.60788498311,1837.6141,1558.1724096122125,1663.4970304834512,-
02-05-2024,1610.7793531746315,1845.0374,1561.1152132581578,1670.4256411691867,-
03-05-2024,1612.0735055159062,1848.2363,1553.3637176992147,1671.5677665713865,-
06-05-2024,1613.1856387713783,1856.1407,1551.9548587401969,1672.4318541288314,-
07-05-2024,1614.125022782776,1858.2957,1553.0327405768228,1673.3786871206994,-
08-05-2024,1614.9008817304716,1860.2474,1550.993610962232,1674.7640615070975,-
09-05-2024,1615.5223636065248,1862.0146,1545.8908136355944,1675.002570366047,-
10-05-2024,1615.998512207227,1863.6147,1541.6094904707943,1674.5324858458716,-
13-05-2024,1616.3382415631538,1867.5614,1547.2382569642084,1675.0875976052782,-
14-05-2024,1616.5503127218085,1868.6357,1549.2238978077553,1676.3078346372165,-
15-05-2024,1616.643312795513,1869.608,1552.4434601191372,1678.24917577462,-
16-05-2024,1616.625636185307,1870.4879,1555.0972044525488,1679.4794915646744,-
17-05-2024,1616.5054678901597,1871.2839,1559.6179941053238,1680.9236528386655,
20-05-2024,1616.2907688098023,1873.246,1558.036255333066,1681.9101251973564,
21-05-2024,1615.9892629488893,1873.7795,1550.2757287083425,1681.669430866176,
22-05-2024,1615.608426429987,1874.2622,1548.870187507934,1680.7064810820023,
23-05-2024,1615.1554782230342,1874.6989,1549.944216676498,1679.8426556105205,
24-05-2024,1614.6373724993837,1875.0939,1547.9027760261483,1679.574828595887,
27-05-2024,1614.060792519321,1876.0671,1542.7944287096211,1678.9283294060006,
28-05-2024,1613.432145962993,1876.3317,1538.51498658518,1677.648355811405,
29-05-2024,1612.757561616003,1876.5712,1544.1420994046096,1677.1857794219695,
30-05-2024,1612.0428873224516,1876.7877,1546.129098871039,1677.4121533069192,
31-05-2024,1611.2936891199518,1876.9836,1549.3475465950853,1678.4505981032378,
03-06-2024,1610.5152514730785,1877.4658,1552.0022314633125,1679.1742005383246,
04-06-2024,1609.712578523804,1877.5969,1556.5222599150684,1680.1599841211446,
05-06-2024,1608.890396279715,1877.7156,1554.941121442633,1680.5957932330678,
06-06-2024,1608.0531556631686,1877.8228,1547.1800591950484,1679.8260967799376,
07-06-2024,1607.205036347027,1877.9194,1545.7749119849316,1678.389164545836,
