Bank,Title,Description,Published At
KOTAK,"Rs 1,000 becomes Rs 20 lakh in day via short contract? Traders' big claims on Kotak Mahindra Bank","Though billionaire Uday Kotak may have lost Rs 10,000 crore in a day after the Reserve Bank of India placed curbs on Kotak Mahindra Bank, some claim to have made huge profits by exercising the put option via short contracts. But what is it? How does it work?",2024-04-26T13:01:59Z
KOTAK,"RBI action on Kotak Mahindra Bank may restrain credit growth, profitability: S&P","New Delhi, S&P Global Ratings on Friday said RBI's regulatory action on Kotak Mahindra Bank could restrain the lender's credit growth and profitability. The",2024-04-26T09:43:00Z
KOTAK,"Notices, fines, court case & now a limited ban - RBI-Kotak relationship has been fraught for years",RBI Wednesday banned Kotak Mahindra Bank from taking on new customers through digital channels & from issuing new credit cards. Violations had to do with strength of bank’s IT infra.,2024-04-26T04:10:44Z
KOTAK,Kotak Mahindra shares plummet 10.85% after RBI action,"While the bank reassured to its existing customers of uninterrupted services, including credit card, mobile and net banking, the market took the RBI action seriously.",2024-04-26T00:10:15Z
KOTAK,Kotak Mahindra Bank shares drop 10% after RBI bans it from taking new customers via digital channels,The private lender's shares tumbled to be top Nifty 50 loser after India's central bank barred it from taking on new customers through online and mobile banking channels.,2024-04-25T06:12:34Z
KOTAK,Why Has RBI Barred Kotak Mahindra Bank from Adding New Customers Online? What’s Next for the Lender?,"The RBI said Kotak Mahindra Bank was found to be non-compliant with the corrective action plans issued for 2022-23. The lender lacks ‘robust IT infrastructure and IT Risk Management framework’, and its online and digital banking channels have suffered frequent outages in the last two years",2024-04-25T05:43:57Z
KOTAK,Kotak Mahindra Bank Shares Tank 12% After RBI Bans Customer Onboarding Digitally,"Kotak Bank plunged 10 per cent to Rs 1,673 after the Reserve Bank of India (RBI) barred the private lender from issuing new credit cards",2024-04-25T04:36:09Z
KOTAK,"Kotak Mahindra Bank share price tanks over 9% as RBI action seen hurting growth, margins","Kotak Mahindra Bank share price plunged as RBI restrictions is likely to adversely impact growth, analysts said. They expect the restrictions will be reviewed upon completion of external audit and corrective action plan to RBI’s satisfaction which typically takes 6-12 months.",2024-04-24T18:30:00Z
KOTAK,Kotak must act fast to escape RBI’s cyber-risk clamps,RBI has barred Kotak Mahindra Bank from issuing new credit cards and enlisting new customers through its website and app because of tech compliance failures. The private lender should get its house in order quickly.,2024-04-24T18:30:00Z
KOTAK,Today’s Top News Headlines and Latest News at 8:30 pm on 24 April 2024,"RBI asks Kotak Bank to stop issuing fresh credit cards, onboarding new customers; Iran, Pakistan call on UNSC to take action against Israel; top news from April 24",2024-04-24T15:00:49Z
KOTAK,"RBI directs Kotak Mahindra Bank to cease adding new customers online, issuing fresh credit cards","According to RBI, Kotak Bank was assessed to be deficient in its IT Risk and Information Security Governance, contrary to requirements under Regulatory Guidelines.",2024-04-24T12:16:03Z
KOTAK,"RBI bars Kotak Mahindra Bank from issuing new credit cards, adding new customers online or via mobile","The bank continues to provide services to its existing customers, the RBI said, adding that these actions are necessitated based on significant concerns arising out of Reserve Bank’s IT Examination of the bank for the years 2022 and 2023 and the continued failure on the part of the bank to address these concerns in a comprehensive and timely manner.",2024-04-24T11:54:58Z
KOTAK,"RBI Bars Kotak Mahindra Bank From Onboarding New Customers Online, Issuing Credit Cards",Learn about RBI's decision to restrict Kotak Mahindra Bank from onboarding new customers online and issuing credit cards. Explore the implications and latest updates at news18.com,2024-04-24T11:05:05Z
KOTAK,"RBI bars Kotak Mahindra Bank from onboarding new online customers, issuing fresh credit cards",The RBI's action follows deficiencies in Kotak Bank's IT risk management and information security governance.,2024-04-24T11:02:29Z
KOTAK,"RBI bars Kotak Mahindra Bank from onboarding new customers via online, issuing fresh credit cards",The RBI on Wednesday barred Kotak Mahindra Bank from onboarding new customers through its online and mobile banking channels and issuing fresh credit cards,2024-04-24T11:01:00Z
KOTAK,"RBI bars Kotak Mahindra Bank from onboarding new customers via online, mobile banking channels",The RBI said the bank was found to be deficient in its IT Risk and Information Security Governance for the years 2022 and 2023.,2024-04-24T10:53:50Z
