Date,Arima_Close,Lstm_Close,Sarima_Close,Average_Close,Market_Close
09-04-2024,767.9122273904347,758.17944,774.2241547192743,764.20
10-04-2024,767.2652381550972,745.52,774.0477511684101,779.05
12-04-2024,765.5463506505253,719.966,777.9412163183771,758.3381160169112,766.30
15-04-2024,764.5760055234634,677.5829,779.7166202961625,751.1206200720354,757.50
16-04-2024,763.5702126612462,663.23914,779.3128236904491,743.4945854600247,751.70
18-04-2024,761.5110039548431,635.17725,778.3409267481359,730.163944843996,744.80
19-04-2024,760.4744348424642,621.68097,781.0269321993462,725.3928515873422,750.45
22-04-2024,759.4395689314396,584.2373,778.9348347244764,717.8692468223006,766.10
23-04-2024,758.4090391145692,572.91205,778.3147586211409,710.6033209370485,773.00
24-04-2024,757.3845007440935,562.1966,778.7571942408729,703.3984273751768,773.10
25-04-2024,756.366984298154,552.0922,784.3604005681299,700.0881919541067,812.70
26-04-2024,755.357120903162,542.5916,784.1306650003366,697.0263628616389,801.30	
27-04-2024,0.00,0.00,0.00,0.00,0.00
29-04-2024,754.355286549587,517.16656,785.1911258982578,692.4013270241809,-
30-04-2024,753.361694313511,509.49945,787.7352992232175,687.7098668764525,-
02-05-2024,751.3996064963629,495.33853,789.2779811587372,681.1724610817658,-
03-05-2024,750.4311545975116,488.80884,788.7966773773144,678.66581979711,-
06-05-2024,749.4710717108235,470.88403,788.575950086978,674.7759823808586,-
07-05-2024,748.5193150697768,464.9814,791.2971321608844,671.307285667032,-
08-05-2024,747.5758313642315,459.17432,789.0269469135557,667.7228885895834,-
09-05-2024,746.6405607681759,453.4792,788.5183198745826,665.4681140168008,-
10-05-2024,745.7134395134282,447.89276,789.017821081367,663.0043555017046,-
13-05-2024,744.7944015335163,431.8102,794.6268871784303,660.2770655499445,-
14-05-2024,743.8833795129694,426.69315,794.3981121889914,657.6477945565226,-
15-05-2024,742.9803055563966,421.78192,795.4598814858354,655.1586930506822,-
16-05-2024,742.0851116144414,417.05573,798.0080453052709,653.5939595182117,-
17-05-2024,741.1977297542808,412.50232,799.6094399280812,652.2978315160341,-
20-05-2024,740.3180923307276,399.8213,799.5475775057164,650.0161496042798,-
21-05-2024,739.4461320937885,395.90765,799.0641390691485,647.4904867424159,-
22-05-2024,738.5817822556007,392.14517,798.8405818731128,644.8524916808993,-
23-05-2024,737.7249765314099,388.53067,801.5611168129846,643.5335798484494,-
24-05-2024,736.8756491639625,385.0609,799.2942072714684,642.068339323171,-
27-05-2024,736.0337349373087,375.4869,798.783530216015,639.9279649925721,-
28-05-2024,735.1991691838482,372.56253,799.2819817479037,637.6198447245007,-
29-05-2024,734.3718877870715,369.76572,804.890940055868,636.2640437697795,-
30-05-2024,733.5518271815638,367.0928,804.6621473954975,635.7087781501947,-
31-05-2024,732.738924351272,364.5401,805.7238926246833,635.2598043773286,-
03-06-2024,731.9331168266792,357.5657,808.2719830424528,634.0089434913499,-
04-06-2024,731.1343426812927,355.45627,809.8733177257477,633.0264052502365,-
05-06-2024,730.3425405277089,353.44827,809.8115731788845,631.9819015536406,-
06-06-2024,729.5576495134236,351.53793,809.3281740071582,631.1655630704684,-
07-06-2024,728.7796093164914,349.60492,809.1046688644387,630.1683706009006,-
