Bank,Title,Description,Published At
AXIS,"Stocks to buy: ICICI Bank, IndusInd Bank and SBI - top stock picks among banks from Motilal Oswal ahead of Q4 results","Stocks to buy: ICICI Bank, Axis Bank and Kotak Mahindra Bank are expected to see a 7-11 bps moderation in NIM, while it expects flat NIMs for HDFC Bank, RBL Bank, SBI, IndusInd Bank and Union Bank of India.",2024-04-07T18:30:00Z
AXIS,"Vodafone Idea's ₹20,000-crore FPO likely next week","It is learnt to have appointed Axis Bank, Jefferies Financial Group and State Bank of India as lead bankers for managing the share sale, and a price band may be fixed early next week, which will likely be at a discount to the current price.",2024-04-05T18:30:00Z
AXIS,"Stocks in focus: Rajesh Palviya of Axis Securities recommends IPCA Lab, Cyient, and Tech Mahindra today","Stocks in focus: Rajesh Palviya has recommended three stocks for Friday - IPCA Laboratories Ltd, Cyient Ltd, and Tech Mahindra Ltd.",2024-04-04T18:30:00Z
AXIS,"Stocks to buy in April: Coal India, ICICI Bank, SBI , Bharti Airtel are among top 15 picks by Axis Securities","Stocks to Buy in April: ICICI Bank, Coal India, Nestle India, SBI , Lupin , Federal Bank, Varun Beverages, TVS Motor Company, Bharti Airtel, PNC infra, CIE Automotive India, Bank of Baroda, Westlife Foodworld, CreditAccess Grameen, JTL Industries are among the top 15 stock picks by Axis Securities",2024-04-01T18:30:00Z
AXIS,"Axis Bank customers rattled by spate of fraudulent international purchases on credit cards, lender plays down concerns","The issue came to light as numerous Axis Bank credit card holders took to social media platforms like X (formerly Twitter) to report unauthorised transactions, including international purchases made without their consent",2024-03-28T18:30:00Z
AXIS,"Buy or sell: Rajesh Palviya of Axis Securities recommends to buy, hold, and accumulate Kalyan Jewellers India next week",Buy or sell stocks: Rajesh Palviya of Axis Securities has recommended Kalyan Jewellers India Ltd stock for next week.,2024-03-28T18:30:00Z
AXIS,"Sensex, Nifty end FY24 on buoyant note amid positive global cues","Nestle, State Bank of India, Power Grid, Tata Steel, Larsen & Toubro and Mahindra & Mahindra were the other major gainers. In contrast, Tech Mahindra, Axis Bank and Reliance Industries were the laggards.",2024-03-28T11:06:56Z
AXIS,"Top Gainers and Losers today on 28 March, 2024: Bajaj Finserv, Grasim Industries, Axis Bank, Reliance Industries among most active stocks; Check full list here","Top Gainers and Losers Today : The Sensex gained 655.04 points, or 0.9, to settle at 72996.31, while the Nifty gained 203.25 points, or 0.92, to close at 22123.65.",2024-03-27T18:30:00Z
AXIS,Axis Bank credit card customers allege fraudulent transactions on the social media. Details here,"Axis Bank, meanwhile, released a statement clarifying that there has been no breach of any systems although some unauthorised transactions took place from certain merchants which have been blocked.",2024-03-27T18:30:00Z
AXIS,"BRO connects new axis to Ladakh, to be shortest route",The all-weather Nimmu-Padam-Darcha Road will connect Manali to Leh through Darcha and Nimmu on Kargil-Leh Highway.,2024-03-27T15:11:56Z
AXIS,"Sensex, Nifty rebound in early trade led by Reliance Industries","Sensex climbed 270.18 points, and Nifty went up by 87.35 points in early trade.RIL, Maruti, NTPC, Tata Motors, Axis Bank, HUL were the major gainers in the",2024-03-27T05:38:00Z
AXIS,‘Adoption of generative AI key for customer centricity’,"Rajkamal Vempati, president and head of human resources of Axis Bank, added that generative AI is now making inroads into consumption in businesses",2024-03-26T18:30:00Z
AXIS,"Stocks to buy: Coal India, Bajaj Finance, JSW Energy, Policybazaar among 12 stocks that can rise 8-27% in next 3-4 weeks","Stocks to buy: According to Axis Securities, if Nifty crosses and sustains above the 22,200 level, it would witness buying, leading the index towards 22,300-22,500 levels. However, if the index breaks below the 21,900 level, it would witness selling, taking the index towards 21,800-21,600.",2024-03-25T18:30:00Z
AXIS,Expert view: Nifty 50 may give a double-digit return in FY25: Naveen Kulkarni of Axis Securities PMS,"Expert view: Naveen Kulkarni, Chief Investment Officer at Axis Securities PMS believes the Nifty 50 may deliver a healthy double-digit return in the low to mid-teens in FY25.",2024-03-25T18:30:00Z
AXIS,"Lok Sabha election 2024: BEL, NTPC, NHPC to M&M - experts recommend these 11 stocks to buy for long-term","Lok Sabha election: Experts have recommended 11 stocks to buy for the long-term — BEL, NTPC, NHPC, SBI, Canara Bank, ONGC, HAL, M&M, MSIL, ICICI Bank, and Axis Bank",2024-03-22T18:30:00Z
AXIS,"Credit growth trajectory likely to slow down to 12-14% YoY over FY25-27, says Emkay Global","Private banks like HDFC Bank, ICICI Bank, Axis Bank, IndusInd Bank and IDFC First Bank are in a branch expansion mode and have identified their niche focus areas to mobilize retail deposits, but PSU Bank, except the likes of SBI and Bank of Baroda, still lag and could, thus, suffer in the long run.",2024-03-21T18:30:00Z
AXIS,"Buy or sell: Rajesh Palviya of Axis Securities recommends DMart, Cummins India, and Polycab India today","Buy or sell stocks: Rajesh Palviya has recommended three stocks for Friday - Avenue Supermarts Ltd (DMart), Cummins India Ltd, and Polycab India Ltd.",2024-03-21T18:30:00Z
