Date,Arima_Close,Lstm_Close,Sarima_Close,Average_Close
21-02-2024,209.14231304661885,276.64102,209.2281755898416,
22-02-2024,208.220989737374,278.84067,210.0227292699406,
23-02-2024,208.3031782687896,280.48828,210.2630502400284,232.3500451280659
26-02-2024,208.344243908858,284.86908,211.04208704622744,233.3771453856909
27-02-2024,207.35543065307425,286.32797,211.5639588528544,234.28414210775915
28-02-2024,207.4251630261403,287.78256,211.6655326573261,235.15289179383117
29-02-2024,207.1162816244819,289.22256,211.3866271659068,235.53845377553156
01-03-2024,207.13013233239465,290.64075,211.7078840796936,236.00861009843814
04-03-2024,206.9895949766587,294.73083,212.188333500546,236.79033263107576
05-03-2024,207.1110577707244,296.0346,212.2593514134828,237.64361489705558
06-03-2024,207.02869372659487,297.30734,212.3620348110782,238.4457595776761
07-03-2024,207.11742644359688,298.5485,212.9283409136065,238.96637167545373
08-03-2024,207.075369773313,299.7575,212.91785437080733,239.44922889322186
11-03-2024,207.13044483983248,303.18832,214.0527418551581,240.3018331329238
12-03-2024,207.0959232452812,304.2654,214.2052884753196,241.07653806219022
13-03-2024,207.1310459477864,305.309,215.0362356939148,241.9349333396992
14-03-2024,207.10462247576965,306.31903,215.3987491866863,242.42947722497308
15-03-2024,207.1260064274106,307.29553,215.5316429460945,242.91687363085134
18-03-2024,207.10754953528937,310.0258,215.24302916484484,243.46132885956615
19-03-2024,207.1216390751719,310.87042,215.55601398673343,243.986403459505
20-03-2024,207.1090674110323,311.68295,216.00582535208363,244.52469939168395
21-03-2024,207.1187524468896,312.4639,215.9721523116284,244.8778578426155
22-03-2024,207.1104417980921,313.2138,216.13764309594964,245.20161471285283
25-03-2024,207.1170929315104,315.28125,216.52584306669888,245.6600972945299
26-03-2024,207.1115875359208,315.91174,216.50159264187457,246.10122123000517
27-03-2024,207.1161338313472,316.514,217.64443610587708,246.63596401258098
28-03-2024,207.11244092231888,317.08887,217.79478847444915,246.97728772353193
29-03-2024,207.1155161112051,317.63712,218.6270294741816,247.40559276881984
01-04-2024,207.1130228060653,319.13052,218.98594149600703,247.84502769824743
02-04-2024,207.1150910340903,319.5808,219.1195755655769,248.2694018319029
03-04-2024,207.11340276098943,320.0088,218.8307191836932,248.55531920515804
04-04-2024,207.11479373664983,320.41534,219.14353786756487,248.7157844609516
05-04-2024,207.1136515061026,320.80127,219.5926638357128,248.90379765452363
08-04-2024,207.1145883954967,321.84393,219.55668644029896,249.18849575353622
09-04-2024,207.11381711629184,322.1558,219.7235598083478,249.44621856691674
10-04-2024,207.11444915201648,322.45117,220.1078320395792,249.68687032800344
11-04-2024,207.11392893061816,322.73083,220.08327690338973,249.843851550027
12-04-2024,207.1143556266581,322.99557,221.2262964987593,250.10418990566896
15-04-2024,207.11400484077453,323.7065,221.3766001104889,250.38459587896537
16-04-2024,207.1142928920624,323.91806,222.2088698537459,250.75272775805433
17-04-2024,207.11405630601865,324.1179,222.5677023019355,251.02644292278066
18-04-2024,207.1142507028476,324.30667,222.7013527709641,251.24035053639713
19-04-2024,207.11409108861355,324.48486,222.4124909985431,251.32593046321358
